Timestamp,Datestamp,Daynumber,Temperature,Pressure,Humidity,MaxTemperature,MinTemperature,AverageTemperature,MaxPressure,MinPressure,AveragePressure,MaxHumidity,MinHumidity,AverageHumidity
17,18,3,32.36,1009.7,63.83,33.37,32.36,32.86,1009.7,1009.33,1009.52,63.83,60.4,62.12,
18,18,3,32.9,1010.65,54.15,33.37,32.36,32.88,1010.65,1009.33,1009.89,63.83,54.15,59.46,
19,18,3,31.65,1011.2,46.09,33.37,31.65,32.57,1011.2,1009.33,1010.22,63.83,46.09,56.12,
20,18,3,28.74,1012.13,54.35,33.37,28.74,31.8,1012.13,1009.33,1010.6,63.83,46.09,55.76,
21,18,3,29.89,1012.75,52.41,33.37,28.74,31.49,1012.75,1009.33,1010.96,63.83,46.09,55.21,
22,18,3,29.99,1013.18,47.38,33.37,28.74,31.14,1013.18,1009.33,1011.47,63.83,45.12,53.45,
23,18,3,28.75,1011.69,43.73,33.37,28.74,30.96,1013.18,1009.33,1011.33,63.83,43.73,52.79,
0,19,2,29.07,1011.09,42.1,33.37,28.74,30.75,1013.18,1009.33,1011.3,63.83,42.1,51.6,
1,19,2,29.73,1011.11,46.54,33.37,28.74,30.57,1013.18,1009.33,1011.27,63.83,42.1,49.85,
2,19,2,29.92,1010.45,51.81,33.37,28.74,30.52,1013.18,1009.33,1011.2,63.83,42.1,50.0,
3,19,2,29.75,1009.95,56.1,33.37,28.74,30.46,1013.18,1009.33,1011.11,63.83,42.1,50.44,
4,19,2,29.65,1010.29,57.79,33.37,28.74,30.41,1013.18,1009.33,1011.06,63.83,42.1,50.93,
5,19,2,29.59,1010.92,58.89,33.37,28.74,30.36,1013.18,1009.33,1011.05,63.83,42.1,51.42,
6,19,2,29.46,1011.31,60.07,33.37,28.74,30.3,1013.18,1009.33,1011.06,63.83,42.1,51.93,
7,19,2,29.5,1012.18,61.54,33.37,28.74,30.26,1013.18,1009.33,1011.13,63.83,42.1,52.47,
8,19,2,29.72,1012.65,62.67,33.37,28.74,30.23,1013.18,1009.33,1011.21,63.83,42.1,53.0,
9,19,2,30.52,1012.75,72.76,33.37,28.74,30.25,1013.18,1009.33,1011.35,72.76,42.1,54.43,
10,19,2,32.06,1012.74,69.12,32.06,29.07,30.05,1012.89,1009.95,1011.56,72.76,42.1,57.47,
11,19,2,31.21,1012.29,69.01,32.06,29.07,30.01,1012.75,1009.95,1011.48,72.76,42.1,59.03,
12,19,2,33.69,1010.57,48.66,33.69,29.07,30.3,1012.75,1009.95,1011.41,72.76,42.1,58.24,
13,19,2,36.15,1009.72,44.45,36.15,29.07,30.72,1012.75,1009.72,1011.29,72.76,42.1,57.25,
14,19,2,32.39,1008.83,61.13,36.15,29.07,30.83,1012.75,1008.83,1011.12,72.76,42.1,57.51,
15,19,2,32.49,1008.65,60.86,36.15,29.07,30.93,1012.75,1008.65,1010.97,72.76,42.1,57.72,
16,19,2,32.63,1008.87,64.27,36.15,29.07,31.03,1012.75,1008.65,1010.85,72.76,42.1,58.1,
17,19,2,32.13,1009.64,69.41,36.15,29.07,31.09,1012.75,1008.65,1010.78,72.76,42.1,58.73,
18,19,2,30.82,1009.94,72.48,36.15,29.07,31.08,1012.75,1008.65,1010.73,72.76,42.1,59.46,
19,19,2,32.17,1010.66,50.38,36.15,29.07,31.13,1012.75,1008.65,1010.73,72.76,42.1,59.0,
20,19,2,31.62,1011.45,44.11,36.15,29.07,31.16,1012.75,1008.65,1010.76,72.76,42.1,58.29,
21,19,2,30.25,1012.03,49.78,36.15,29.07,31.11,1012.75,1008.65,1010.82,72.76,42.1,57.91,
22,19,2,29.98,1012.54,46.33,36.15,29.07,31.07,1012.75,1008.65,1010.9,72.76,42.1,57.4,
23,19,2,31.87,1012.23,37.46,36.15,29.07,31.1,1012.75,1008.65,1010.95,72.76,37.46,56.57,
0,20,1,31.22,1011.74,45.61,36.15,29.07,31.1,1012.75,1008.65,1010.98,72.76,37.46,56.13,
1,20,1,32.38,1011.07,53.23,36.15,29.07,31.15,1012.75,1008.65,1010.99,72.76,37.46,56.02,
2,20,1,32.14,1010.51,56.02,36.15,29.07,31.19,1012.75,1008.65,1010.97,72.76,37.46,56.02,
3,20,1,31.76,1010.02,58.17,36.15,29.07,31.21,1012.75,1008.65,1010.94,72.76,37.46,56.1,
4,20,1,31.37,1010.1,60.33,36.15,29.07,31.22,1012.75,1008.65,1010.91,72.76,37.46,56.24,
5,20,1,31.12,1010.23,61.23,36.15,29.07,31.21,1012.75,1008.65,1010.88,72.76,37.46,56.41,
6,20,1,31.75,1010.64,59.93,36.15,29.07,31.23,1012.75,1008.65,1010.88,72.76,37.46,56.52,
7,20,1,31.51,1011.26,61.09,36.15,29.07,31.24,1012.75,1008.65,1010.89,72.76,37.46,56.67,
8,20,1,31.6,1011.64,62.09,36.15,29.07,31.25,1012.75,1008.65,1010.91,72.76,37.46,56.83,
9,20,1,32.74,1012.02,63.2,36.15,29.07,31.29,1012.75,1008.65,1010.94,72.76,37.46,57.02,
10,20,1,32.05,1011.87,70.02,32.74,31.12,31.79,1012.02,1010.02,1011.01,70.02,45.61,59.17,
11,20,1,31.54,1011.45,68.71,32.74,31.12,31.76,1012.02,1010.02,1011.05,70.02,45.61,59.97,
